Title,Link,Authors
Review of fluxgate sensors,https://www.sciencedirect.com/science/article/pii/092442479280159Z,"P Ripka - Sensors and Actuators A: Physical, 1992 - Elsevier"
Advances in fluxgate sensors,https://www.sciencedirect.com/science/article/pii/S0924424703000943,"P Ripka - Sensors and Actuators A: Physical, 2003 - Elsevier"
The fluxgate magnetometer,https://iopscience.iop.org/article/10.1088/0022-3735/12/4/001/meta,"F Primdahl - Journal of Physics E: Scientific Instruments, 1979 - iopscience.iop.org"
The THEMIS fluxgate magnetometer,https://link.springer.com/content/pdf/10.1007/s11214-008-9365-9.pdf,"HU Auster, KH Glassmeier, W Magnes, O Aydogar… - Space science …, 2008 - Springer"
Recent advances in fluxgate magnetometry,https://ieeexplore.ieee.org/abstract/document/1067268/,"D Gordon, RE Brown - IEEE Transactions on Magnetics, 1972 - ieeexplore.ieee.org"
New directions in fluxgate sensors,https://www.sciencedirect.com/science/article/pii/S0304885300002730,"P Ripka - Journal of Magnetism and Magnetic Materials, 2000 - Elsevier"
New and future applications of fluxgate sensors,https://www.sciencedirect.com/science/article/pii/S0924424703001316,"F Kaluza, A Grüger, H Grüger - Sensors and Actuators A: Physical, 2003 - Elsevier"
"Development, construction and analysis of the'OErsted'fluxgate magnetometer",https://iopscience.iop.org/article/10.1088/0957-0233/6/8/004/meta,"OV Nielsen, JR Petersen, F Primdahl… - Measurement …, 1995 - iopscience.iop.org"
"The fluxgate mechanism, part I: The gating curves of parallel and orthogonal fluxgates",https://ieeexplore.ieee.org/abstract/document/1066795/,"F Primdahl - IEEE transactions on magnetics, 1970 - ieeexplore.ieee.org"
Orthogonal fluxgate mechanism operated with dc biased excitation,https://aip.scitation.org/doi/abs/10.1063/1.1451899,"I Sasada - Journal of Applied Physics, 2002 - aip.scitation.org"
An integrated micro fluxgate magnetic sensor,https://www.sciencedirect.com/science/article/pii/S0924424797800660,"SO Choi, S Kawahito, Y Matsumoto, M Ishida… - Sensors and Actuators A …, 1996 - Elsevier"
A micro-fluxgate magnetic sensor using micromachined planar solenoid coils,https://www.sciencedirect.com/science/article/pii/S0924424799001867,"TM Liakopoulos, CH Ahn - Sensors and Actuators A: Physical, 1999 - Elsevier"
Suppression of magnetic noise in the fundamental-mode orthogonal fluxgate,https://www.sciencedirect.com/science/article/pii/S0924424704003498,"E Paperno - Sensors and Actuators A: Physical, 2004 - Elsevier"
RPC-MAG the fluxgate magnetometer in the ROSETTA plasma consortium,https://link.springer.com/content/pdf/10.1007/s11214-006-9114-x.pdf,"KH Glassmeier, I Richter, A Diedrich, G Musmann… - Space Science …, 2007 - Springer"
Cluster as a wave telescope–first results from the fluxgate magnetometer,https://angeo.copernicus.org/articles/19/1439/2001/,"KH Glassmeier, U Motschmann, M Dunlop… - Annales …, 2001 - angeo.copernicus.org"
Fluxgate magnetometers for outer planets exploration,https://ieeexplore.ieee.org/abstract/document/1058457/,"M Acuña - IEEE Transactions on Magnetics, 1974 - ieeexplore.ieee.org"
Design and realization of a novel compact fluxgate current sensor,https://ieeexplore.ieee.org/abstract/document/7093606/,"X Yang, Y Li, W Zheng, W Guo… - IEEE Transactions on …, 2015 - ieeexplore.ieee.org"
Large‐scale systematic fluxgate gradiometry at the roman city of Wroxeter,https://onlinelibrary.wiley.com/doi/abs/10.1002/1099-0763(200006)7:2%3C81::AID-ARP145%3E3.0.CO;2-6,"CF Gaffney, JA Gater, P Linford… - Archaeological …, 2000 - Wiley Online Library"
Crossfield effect at fluxgate,https://www.sciencedirect.com/science/article/pii/S0924424799000825,"P Ripka, SW Billingsley - Sensors and Actuators A: Physical, 2000 - Elsevier"
Design of a low-consumption fluxgate transducer for high-current measurement applications,https://ieeexplore.ieee.org/abstract/document/5579975/,"G Velasco-Quesada, M Román-Lumbreras… - IEEE Sensors …, 2010 - ieeexplore.ieee.org"
